Código IBGE;Municípios;Microrregião;Estado;Região Geográfica;Área Km²;População;Domicílios;PIB Total (R$ mil);IDH - Índice de Desenv. Humano;Renda Média;Renda Nominal;PEA Dia;IDH - Dimensão Educação;IDH - Dimensão Longevidade
5203575;Bonópolis;Porangatu;GO;Centro-Oeste;1.628,48;4.493,00;1.367,53;95.593,46;0,63;2.466,99;3.373.691,52;2.047,00;0,488;0,813
5203609;Brazabrantes;Anápolis;GO;Centro-Oeste;123,07;3.746,00;1.308,32;108.910,41;0,701;3.294,96;4.310.864,73;1.565,00;0,615;0,826
5203807;Britânia;Rio Vermelho;GO;Centro-Oeste;1.461,19;5.797,00;2.028,73;113.053,16;0,672;2.855,53;5.793.099,07;2.860,00;0,546;0,802
5203906;Buriti Alegre;Meia Ponte;GO;Centro-Oeste;895,46;9.484,00;3.444,52;311.200,89;0,71;3.375,05;11.625.425,53;6.886,00;0,614;0,831
5203939;Buriti de Goiás;Anicuns;GO;Centro-Oeste;199,29;2.476,00;947,47422;38.073,31;0,687;3.092,62;2.930.179,74;1.593,00;0,57;0,806
5203962;Buritinópolis;Vão do Paranã;GO;Centro-Oeste;247,05;3.283,00;992,12915;75.452,00;0,704;2.486,76;2.467.189,62;1.317,00;0,591;0,813
5204003;Cabeceiras;Entorno de Brasília;GO;Centro-Oeste;1.127,60;8.046,00;2.634,41;219.065,62;0,668;2.603,46;6.858.584,60;3.755,00;0,571;0,819
5204102;Cachoeira Alta;Quirinópolis;GO;Centro-Oeste;1.654,56;12.666,00;4.258,55;236.330,93;0,71;4.044,74;17.224.727,34;6.398,00;0,569;0,84
5204201;Cachoeira de Goiás;Iporá;GO;Centro-Oeste;422,75;1.342,00;488,09094;27.358,69;0,727;2.896,09;1.413.554,92;748;0,674;0,838
5204250;Cachoeira Dourada;Meia Ponte;GO;Centro-Oeste;521,13;8.031,00;2.782,31;893.422,77;0,698;3.463,21;9.635.719,88;6.299,00;0,602;0,804
5204300;Caçu;Quirinópolis;GO;Centro-Oeste;2.251,01;16.270,00;5.506,29;908.793,03;0,73;4.426,56;24.373.939,85;10.403,00;0,599;0,84
5204409;Caiapônia;Sudoeste de Goiás;GO;Centro-Oeste;8.637,87;19.107,00;6.751,96;672.373,66;0,693;3.018,23;20.378.973,31;8.665,00;0,588;0,808
5204508;Caldas Novas;Meia Ponte;GO;Centro-Oeste;1.595,97;93.196,00;31.751,03;2.554.677,19;0,733;4.024,50;127.782.108,73;65.988,00;0,64;0,832
5204557;Caldazinha;Goiânia;GO;Centro-Oeste;250,89;3.848,00;1.329,30;50.661,71;0,685;2.998,79;3.986.277,93;1.215,00;0,591;0,814
5204607;Campestre de Goiás;Vale do Rio dos Bois;GO;Centro-Oeste;273,82;3.649,00;1.200,39;57.885,72;0,653;2.447,21;2.937.594,33;1.578,00;0,556;0,799
5204656;Campinaçu;Porangatu;GO;Centro-Oeste;1.974,37;3.632,00;1.251,98;61.699,74;0,631;2.284,73;2.860.434,91;1.611,00;0,476;0,819
5204706;Campinorte;Porangatu;GO;Centro-Oeste;1.067,20;12.764,00;4.101,14;226.398,40;0,688;3.257,53;13.359.580,94;4.993,00;0,565;0,841
5204805;Campo Alegre de Goiás;Catalão;GO;Centro-Oeste;2.462,99;7.738,00;2.565,69;412.523,73;0,694;3.625,02;9.300.651,79;4.464,00;0,586;0,811
5204854;Campo Limpo de Goiás;Anápolis;GO;Centro-Oeste;159,56;7.940,00;2.535,08;101.425,90;0,661;3.091,18;7.836.363,30;3.732,00;0,533;0,829
5204904;Campos Belos;Chapada dos Veadeiros;GO;Centro-Oeste;724,07;20.007,00;6.072,39;268.750,03;0,692;2.947,60;17.898.990,75;8.649,00;0,616;0,815
5204953;Campos Verdes;Porangatu;GO;Centro-Oeste;441,65;1.830,00;633,21726;44.744,45;0,654;2.097,57;1.328.215,96;1.273,00;0,577;0,796
5205000;Carmo do Rio Verde;Ceres;GO;Centro-Oeste;418,54;10.186,00;3.579,10;249.647,77;0,713;2.914,27;10.430.480,07;4.735,00;0,649;0,824
5205059;Castelândia;Sudoeste de Goiás;GO;Centro-Oeste;297,43;3.407,00;1.175,35;101.370,21;0,701;2.858,09;3.359.253,82;1.576,00;0,578;0,823
5205109;Catalão;Catalão;GO;Centro-Oeste;3.821,46;110.983,00;37.311,32;6.108.291,67;0,766;4.717,44;176.013.838,40;72.805,00;0,715;0,819
5205208;Caturaí;Anápolis;GO;Centro-Oeste;207,26;5.101,00;1.718,24;68.277,89;0,664;3.104,23;5.333.809,99;2.134,00;0,54;0,815
5205307;Cavalcante;Chapada dos Veadeiros;GO;Centro-Oeste;6.953,65;9.725,00;2.897,22;253.197,75;0,584;2.108,07;6.107.534,14;3.752,00;0,415;0,808
5205406;Ceres;Ceres;GO;Centro-Oeste;214,32;22.306,00;7.679,10;549.501,41;0,775;4.051,62;31.112.759,98;16.343,00;0,733;0,842
5205455;Cezarina;Vale do Rio dos Bois;GO;Centro-Oeste;415,81;8.703,00;2.871,25;287.096,21;0,711;3.308,02;9.498.157,98;4.938,00;0,652;0,807
5205471;Chapadão do Céu;Sudoeste de Goiás;GO;Centro-Oeste;2.185,13;10.486,00;3.275,16;1.106.080,14;0,742;4.895,50;16.033.546,83;10.431,00;0,652;0,837
5205497;Cidade Ocidental;Entorno de Brasília;GO;Centro-Oeste;389,92;72.890,00;21.571,91;795.632,75;0,717;3.743,38;80.751.860,85;20.875,00;0,641;0,814
5205513;Cocalzinho de Goiás;Entorno de Brasília;GO;Centro-Oeste;1.789,04;20.504,00;6.478,60;326.069,96;0,657;2.732,50;17.702.789,24;7.365,00;0,531;0,826
5205521;Colinas do Sul;Chapada dos Veadeiros;GO;Centro-Oeste;1.708,19;3.360,00;1.080,56;45.304,21;0,658;2.515,92;2.718.597,80;1.275,00;0,549;0,82
5205703;Córrego do Ouro;Iporá;GO;Centro-Oeste;462,3;2.290,00;864,12721;45.768,39;0,686;3.188,18;2.754.989,67;1.242,00;0,578;0,803
5205802;Corumbá de Goiás;Entorno de Brasília;GO;Centro-Oeste;1.061,95;11.169,00;3.598,77;174.495,55;0,68;2.809,53;10.110.850,99;4.763,00;0,571;0,829
5205901;Corumbaíba;Catalão;GO;Centro-Oeste;1.883,67;9.869,00;3.369,04;588.941,82;0,698;3.357,62;11.311.964,54;7.369,00;0,582;0,831
5206206;Cristalina;Entorno de Brasília;GO;Centro-Oeste;6.162,06;60.210,00;18.021,74;2.327.741,20;0,699;3.559,78;64.153.345,12;34.620,00;0,587;0,814
5206305;Cristianópolis;Pires do Rio;GO;Centro-Oeste;225,36;2.964,00;1.098,94;73.396,84;0,688;2.964,64;3.257.959,41;1.695,00;0,554;0,838
5206404;Crixás;São Miguel do Araguaia;GO;Centro-Oeste;4.661,16;17.044,00;5.695,42;521.765,51;0,708;3.161,75;18.007.485,03;11.587,00;0,625;0,805
5206503;Cromínia;Meia Ponte;GO;Centro-Oeste;364,11;3.472,00;1.280,76;70.266,15;0,706;2.805,52;3.593.185,58;2.034,00;0,634;0,803
5206602;Cumari;Catalão;GO;Centro-Oeste;570,54;2.837,00;1.033,51;60.561,50;0,737;3.413,98;3.528.362,45;1.361,00;0,657;0,819
5206701;Damianópolis;Vão do Paranã;GO;Centro-Oeste;415,35;3.306,00;1.093,79;33.750,69;0,654;2.041,53;2.233.005,95;1.173,00;0,558;0,815
5206800;Damolândia;Anápolis;GO;Centro-Oeste;84,5;2.953,00;1.073,27;39.743,36;0,697;2.892,81;3.104.753,17;1.260,00;0,6;0,819
5206909;Davinópolis;Catalão;GO;Centro-Oeste;481,3;2.094,00;812,842;388.543,93;0,716;3.382,56;2.749.484,20;1.305,00;0,606;0,862
5207105;Diorama;Aragarças;GO;Centro-Oeste;687,35;2.479,00;893,02763;55.101,43;0,729;2.922,35;2.609.736,43;1.048,00;0,696;0,841
5208301;Divinópolis de Goiás;Vão do Paranã;GO;Centro-Oeste;830,98;4.778,00;1.587,22;63.466,60;0,653;2.143,92;3.402.880,02;1.872,00;0,55;0,813
5207253;Doverlândia;Sudoeste de Goiás;GO;Centro-Oeste;3.222,94;7.247,00;2.498,45;237.058,52;0,668;3.088,01;7.715.214,55;3.406,00;0,518;0,84
5207352;Edealina;Vale do Rio dos Bois;GO;Centro-Oeste;603,65;3.688,00;1.403,79;252.407,91;0,702;3.276,01;4.598.817,96;2.414,00;0,594;0,808
5207402;Edéia;Vale do Rio dos Bois;GO;Centro-Oeste;1.461,50;12.467,00;4.374,29;836.398,72;0,739;4.004,97;17.518.902,44;7.848,00;0,648;0,826
5207501;Estrela do Norte;Porangatu;GO;Centro-Oeste;301,64;3.264,00;1.107,71;52.167,17;0,707;3.417,57;3.785.681,63;1.468,00;0,593;0,848
5207535;Faina;Rio Vermelho;GO;Centro-Oeste;1.945,66;6.576,00;2.310,72;107.641,11;0,65;2.526,27;5.837.517,41;3.038,00;0,534;0,799
