Código IBGE;Municípios;Microrregião;Estado;Região Geográfica;Área Km²;População;Domicílios;PIB Total (R$ mil);IDH - Índice de Desenv. Humano;Renda Média;Renda Nominal;PEA Dia;IDH - Dimensão Educação;IDH - Dimensão Longevidade; Última Atualização
5203401;Bom Jardim de Goiás;Centro-Oeste;GO;Aragarças;1.899,48;8.869;3.106,55;168.111,63;0.67;2.775,02;8.620.741,30;3.830,00;0.545;0.811;01/06/2024 01:40:00
5203500;Bom Jesus de Goiás;Centro-Oeste;GO;Meia Ponte;1.405,12;25.648;8.451,83;747.000,87;0.701;3.322,22;28.078.798,06;11.294,00;0.573;0.86;01/06/2024 01:40:00
5203559;Bonfinópolis;Centro-Oeste;GO;Goiânia;122,29;9.919;3.244,75;87.077,49;0.683;3.168,93;10.282.388,81;3.361,00;0.58;0.817;01/06/2024 01:40:00
5203575;Bonópolis;Centro-Oeste;GO;Porangatu;1.628,48;4.493;1.367,53;95.593,46;0.63;2.466,99;3.373.691,52;2.047,00;0.488;0.813;01/06/2024 01:40:00
5203609;Brazabrantes;Centro-Oeste;GO;Anápolis;123,07;3.746;1.308,32;108.910,41;0.701;3.294,96;4.310.864,73;1.565,00;0.615;0.826;01/06/2024 01:40:00
5203807;Britânia;Centro-Oeste;GO;Rio Vermelho;1.461,19;5.797;2.028,73;113.053,16;0.672;2.855,53;5.793.099,07;2.860,00;0.546;0.802;01/06/2024 01:40:00
5203906;Buriti Alegre;Centro-Oeste;GO;Meia Ponte;895,46;9.484;3.444,52;311.200,89;0.71;3.375,05;11.625.425,53;6.886,00;0.614;0.831;01/06/2024 01:40:00
5203939;Buriti de Goiás;Centro-Oeste;GO;Anicuns;199,29;2.476;947,47;38.073,31;0.687;3.092,62;2.930.179,74;1.593,00;0.57;0.806;01/06/2024 01:40:00
5203962;Buritinópolis;Centro-Oeste;GO;Vão do Paranã;247,05;3.283;992,13;75.452,00;0.704;2.486,76;2.467.189,62;1.317,00;0.591;0.813;01/06/2024 01:40:00
5204003;Cabeceiras;Centro-Oeste;GO;Entorno de Brasília;1.127,6;8.046;2.634,41;219.065,62;0.668;2.603,46;6.858.584,60;3.755,00;0.571;0.819;01/06/2024 01:40:00
5204102;Cachoeira Alta;Centro-Oeste;GO;Quirinópolis;1.654,56;12.666;4.258,55;236.330,93;0.71;4.044,74;17.224.727,34;6.398,00;0.569;0.84;01/06/2024 01:40:00
5204201;Cachoeira de Goiás;Centro-Oeste;GO;Iporá;422,75;1.342;488,09;27.358,69;0.727;2.896,09;1.413.554,92;748,00;0.674;0.838;01/06/2024 01:40:00
5204250;Cachoeira Dourada;Centro-Oeste;GO;Meia Ponte;521,13;8.031;2.782,31;893.422,77;0.698;3.463,21;9.635.719,88;6.299,00;0.602;0.804;01/06/2024 01:40:00
5204300;Caçu;Centro-Oeste;GO;Quirinópolis;2.251,01;16.270;5.506,29;908.793,03;0.73;4.426,56;24.373.939,85;10.403,00;0.599;0.84;01/06/2024 01:40:00
